,$,kw_program,id,kw_begin,kw_end,kw_semicolumn,kw_var,kw_column,op_assign,kw_procedure,open_paren,close_paren,kw_comma,kw_in,kw_struct,open_curly,close_curly,kw_new,op_or,op_and,op_smaller,op_smaller_or_eq,op_greater,op_greater_or_eq,op_equal,op_not_equal,op_add,op_sub,op_mult,op_div,op_exp,op_not,kw_ref,kw_deref,kw_dot,float_literal,int_literal,string_literal,kw_null,kw_false,kw_true,kw_if,kw_then,kw_fi,kw_else,kw_while,kw_do,kw_od,kw_return,kw_exit,kw_when,kw_float,kw_int,kw_string,kw_bool
S,,S ::= PROGRAM $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROGRAM,,PROGRAM ::= kw_program id kw_begin T_PROGRAM kw_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_PROGRAM,,,,,T_PROGRAM ::= ε,,T_PROGRAM ::= DECL U_PROGRAM,,,T_PROGRAM ::= DECL U_PROGRAM,,,,,T_PROGRAM ::= DECL U_PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_PROGRAM,,,,,U_PROGRAM ::= ε,U_PROGRAM ::= kw_semicolumn DECL U_PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECL,,,,,,,DECL ::= VAR_DECL,,,DECL ::= PROC_DECL,,,,,DECL ::= REC_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_DECL,,,,,,,VAR_DECL ::= kw_var id T_VAR_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_VAR_DECL,,,,,,,,T_VAR_DECL ::= kw_column TYPE U_VAR_DECL,T_VAR_DECL ::= op_assign EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_VAR_DECL,,,,,U_VAR_DECL ::= ε,U_VAR_DECL ::= ε,,,U_VAR_DECL ::= op_assign EXP,,,,,U_VAR_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROC_DECL,,,,,,,,,,PROC_DECL ::= kw_procedure id open_paren T_PROC_DECL close_paren U_PROC_DECL kw_begin V_PROC_DECL STMT_LIST kw_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_PROC_DECL,,,T_PROC_DECL ::= PARAMFIELD_DECL X_PROC_DECL,,,,,,,,,T_PROC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_PROC_DECL,,,,,,,,,,,,X_PROC_DECL ::= ε,X_PROC_DECL ::= kw_comma PARAMFIELD_DECL X_PROC_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_PROC_DECL,,,,U_PROC_DECL ::= ε,,,,U_PROC_DECL ::= kw_column TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_PROC_DECL,,,V_PROC_DECL ::= ε,,V_PROC_DECL ::= ε,,V_PROC_DECL ::= Y_PROC_DECL kw_in,,,V_PROC_DECL ::= Y_PROC_DECL kw_in,,,,V_PROC_DECL ::= Y_PROC_DECL kw_in,V_PROC_DECL ::= Y_PROC_DECL kw_in,,,,,,,,,,,,,,,,,,,V_PROC_DECL ::= ε,,,,,,,,V_PROC_DECL ::= ε,,,,V_PROC_DECL ::= ε,V_PROC_DECL ::= ε,,V_PROC_DECL ::= ε,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_PROC_DECL,,,,,,,Y_PROC_DECL ::= DECL Z_PROC_DECL,,,Y_PROC_DECL ::= DECL Z_PROC_DECL,,,,Y_PROC_DECL ::= ε,Y_PROC_DECL ::= DECL Z_PROC_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z_PROC_DECL,,,,,,Z_PROC_DECL ::= kw_semicolumn Y_PROC_DECL,,,,,,,,Z_PROC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_DECL,,,,,,,,,,,,,,,REC_DECL ::= kw_struct id open_curly T_REC_DECL close_curly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_REC_DECL,,,T_REC_DECL ::= PARAMFIELD_DECL U_REC_DECL,,,,,,,,,,,,,,T_REC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_REC_DECL,,,,,,U_REC_DECL ::= kw_semicolumn PARAMFIELD_DECL U_REC_DECL,,,,,,,,,,,U_REC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMFIELD_DECL,,,PARAMFIELD_DECL ::= id kw_column TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMT_LIST,,,STMT_LIST ::= STMT T_STMT_LIST,,STMT_LIST ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STMT_LIST ::= STMT T_STMT_LIST,,,,,,,,STMT_LIST ::= STMT T_STMT_LIST,,STMT_LIST ::= ε,STMT_LIST ::= ε,STMT_LIST ::= STMT T_STMT_LIST,STMT_LIST ::= STMT T_STMT_LIST,STMT_LIST ::= ε,STMT_LIST ::= STMT T_STMT_LIST,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_STMT_LIST,,,,,T_STMT_LIST ::= ε,T_STMT_LIST ::= kw_semicolumn STMT_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T_STMT_LIST ::= ε,T_STMT_LIST ::= ε,,,T_STMT_LIST ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPT_EXP,,,OPT_EXP ::= EXP,,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,,OPT_EXP ::= EXP,OPT_EXP ::= ε,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,OPT_EXP ::= EXP,,,,,,,,,,,,,,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,,OPT_EXP ::= ε,OPT_EXP ::= ε,OPT_EXP ::= ε,,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP,,,EXP ::= L_EXP OPT_EXP,,,,,,,,EXP ::= L_EXP OPT_EXP,,,,,,,EXP ::= kw_new id,,,,,,,,,,,,,,EXP ::= L_EXP OPT_EXP,EXP ::= REF_VAR,EXP ::= L_EXP OPT_EXP,,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L_EXP,,,L_EXP ::= LU_EXP L2_EXP,,,,,,,,L_EXP ::= LU_EXP L2_EXP,,,,,,,,,,,,,,,,,,,,,L_EXP ::= LU_EXP L2_EXP,,L_EXP ::= LU_EXP L2_EXP,,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_EXP,,,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,,,,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,,,L2_EXP ::= ε,L2_EXP ::= op_or LU_EXP L2_EXP,,,,,,,,,,,,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU_EXP,,,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,,,,,,,,,,,,,,LU_EXP ::= R_EXP LU2_EXP,,LU_EXP ::= R_EXP LU2_EXP,,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
